year,county,race,population,misdemeanor,felony,arrest_count
2006,Contra Costa,Asian/Pacific Islander,134488,0.138899289,0.147896879,794
2006,Del Norte,All Combined,28277,1.651067016,1.228629579,1763
2006,Del Norte,White,19165,2.092100337,1.575305292,1518
2006,Del Norte,Hispanic,4530,0.363534257,0.449118046,74
2006,El Dorado,All Combined,175261,1.010108574,0.843962008,6928
2006,El Dorado,Black,1121,2.504679895,3.26797829,130
2006,El Dorado,White,143958,1.041183078,0.850746269,5821
2006,El Dorado,Hispanic,19203,1.056533134,0.960651289,820
2006,El Dorado,Asian/Pacific Islander,5420,0.428304006,0.262550882,83
2006,Fresno,All Combined,886376,1.3526769,1.363636364,50368
2006,Fresno,Black,44046,3.375514788,4.001356852,6592
2006,Fresno,White,318929,0.931111943,0.947761194,12591
2006,Fresno,Hispanic,422660,1.646948708,1.567842605,28619
2006,Fresno,Asian/Pacific Islander,80802,0.360913516,0.501356852,1394
2006,Glenn,All Combined,27732,2.20179708,1.462686567,2457
2006,Glenn,Black,159,7.299513291,4.266621438,43
2006,Glenn,White,16403,2.088356421,1.385345997,1383
2006,Glenn,Hispanic,9447,2.369898914,1.580054274,898
2006,Glenn,Asian/Pacific Islander,818,1.922126544,1.327001357,61
2006,Humboldt,All Combined,132226,1.753650318,0.965400271,8367
2006,Humboldt,Black,1260,4.575814302,3.984396201,233
2006,Humboldt,White,105367,1.827031075,0.96743555,6889
2006,Humboldt,Hispanic,11015,0.995881692,0.664857531,415
2006,Humboldt,Asian/Pacific Islander,2835,0.831898165,0.645861601,92
2006,Imperial,All Combined,162535,1.400599027,1.091587517,8728
2006,Imperial,Black,5173,1.794833396,1.57394844,369
2006,Imperial,White,26569,1.566828903,1.320217096,1631
2006,Imperial,Hispanic,125715,1.351553725,1.037313433,6488
2006,Inyo,All Combined,18420,1.601647323,1.263229308,1131
2006,Inyo,White,12908,1.424185698,1.019674356,685
2006,Inyo,Hispanic,3039,1.51516286,1.785617368,203
