year,county,population,misdemeanor,felony
2014,Lassen,35038,1.06,0.96
2014,Los Angeles,10082664,0.91,0.95
2014,Madera,154829,0.86,1.04
2014,Marin,257792,0.95,0.59
2014,Mariposa,18091,1.06,0.83
2014,Mendocino,88795,1.91,1.45
2014,Merced,266444,1.13,1.24
2014,Modoc,9395,1.78,2.13
2014,Mono,14440,0.81,0.7
2014,Monterey,426670,0.98,0.93
2014,Napa,141172,1.16,1.23
2014,Nevada,98453,1.13,0.89
2014,Orange,3125833,0.81,0.69
2014,Placer,369460,0.77,0.98
2014,Plumas,19416,1.53,1.15
2014,Riverside,2294333,0.83,0.87
2014,Sacramento,1461174,0.85,1.14
2014,San Benito,58222,0.9,1.08
2014,San Bernardino,2096123,1.06,1.4
2014,San Diego,3214279,0.94,0.86
2014,San Francisco,840391,0.62,0.83
2014,San Joaquin,713961,0.96,1.06
2014,San Luis Obispo,272941,1.75,0.82
2014,San Mateo,747334,0.8,0.62
2014,Santa Barbara,435999,2.28,0.87
2014,Santa Clara,1871516,0.75,0.7
2014,Santa Cruz,272210,1.55,0.95
2014,Shasta,179305,1.62,1.39
2014,Sierra,3267,1.02,1.31
2014,Siskiyou,45290,1.64,1.73
2014,Solano,428705,0.99,1.2
2014,Sonoma,497260,1.14,0.91
2014,Stanislaus,532344,1.12,1.71
2014,Sutter,97257,1.3,1.1
2014,Tehama,64827,1.86,1.93
2014,Trinity,13782,1.26,2.98
2014,Tulare,461703,1.71,1.55
2014,Tuolumne,54592,1.39,1.43
2014,Ventura,844833,1.2,0.92
2014,Yolo,208069,1.22,1.33
2014,Yuba,74258,1.75,1.67
